Date,Total
1986/1/1,9034
1986/2/1,9596
1986/3/1,10558
1986/4/1,9002
1986/5/1,9239
1986/6/1,8951
1986/7/1,9668
1986/8/1,10188
1986/9/1,9896
1986/10/1,10649
1986/11/1,8917
1986/12/1,8196
1987/1/1,10768
1987/2/1,12220
1987/3/1,14463
1987/4/1,12944
1987/5/1,11001
1987/6/1,11000
1987/7/1,11876
1987/8/1,13021
1987/9/1,13494
1987/10/1,14041
1987/11/1,11312
1987/12/1,10362
1988/1/1,12533
1988/2/1,14343
1988/3/1,14676
1988/4/1,12253
1988/5/1,11840
1988/6/1,12018
1988/7/1,11819
1988/8/1,12453
1988/9/1,12309
1988/10/1,13005
1988/11/1,11815
1988/12/1,10496
1989/1/1,13996
1989/2/1,15158
1989/3/1,15587
1989/4/1,14615
1989/5/1,14792
1989/6/1,14373
1989/7/1,14573
1989/8/1,14385
1989/9/1,15607
1989/10/1,15978
1989/11/1,14436
1989/12/1,12794
1990/1/1,15771
1990/2/1,16476
1990/3/1,16420
1990/4/1,15444
1990/5/1,16118
1990/6/1,15158
1990/7/1,15214
1990/8/1,16257
1990/9/1,15287
1990/10/1,15212
1990/11/1,13488
1990/12/1,12300
1991/1/1,15794
1991/2/1,17113
1991/3/1,17536
1991/4/1,15914
1991/5/1,16716
1991/6/1,15983
1991/7/1,16878
1991/8/1,17893
1991/9/1,16697
1991/10/1,18546
1991/11/1,15486
1991/12/1,15253
1992/1/1,18698
1992/2/1,21100
1992/3/1,22425
1992/4/1,19923
1992/5/1,19454
1992/6/1,18874
1992/7/1,19676
1992/8/1,19559
1992/9/1,19500
1992/10/1,19615
1992/11/1,16814
1992/12/1,15698
1993/1/1,20273
1993/2/1,20774
1993/3/1,21309
1993/4/1,19377
1993/5/1,19211
1993/6/1,19103
1993/7/1,20086
1993/8/1,19758
1993/9/1,19162
1993/10/1,19371
1993/11/1,17709
1993/12/1,17342
1994/1/1,18772
1994/2/1,19363
1994/3/1,20001
1994/4/1,17112
1994/5/1,18027
1994/6/1,17173
1994/7/1,18024
1994/8/1,18983
1994/9/1,17983
1994/10/1,19151
1994/11/1,16427
1994/12/1,15461
1995/1/1,19191
1995/2/1,20008
1995/3/1,21702
1995/4/1,18649
1995/5/1,19169
1995/6/1,18631
1995/7/1,18157
1995/8/1,20187
1995/9/1,18660
1995/10/1,19920
1995/11/1,16680
1995/12/1,16018
1996/1/1,20322
1996/2/1,20613
1996/3/1,22704
1996/4/1,20276
1996/5/1,20669
1996/6/1,18074
1996/7/1,18719
1996/8/1,20217
1996/9/1,19642
1996/10/1,20842
1996/11/1,18204
1996/12/1,16898
1997/1/1,20746
1997/2/1,23058
1997/3/1,24624
1997/4/1,22154
1997/5/1,22444
1997/6/1,21471
1997/7/1,21866
1997/8/1,22548
1997/9/1,21518
1997/10/1,23408
1997/11/1,19645
1997/12/1,18278
1998/1/1,23576
1998/2/1,26650
1998/3/1,26207
1998/4/1,23195
1998/5/1,22960
1998/6/1,23002
1998/7/1,22973
1998/8/1,24089
1998/9/1,22805
1998/10/1,23241
1998/11/1,21581
1998/12/1,21119
1999/1/1,23107
1999/2/1,25780
1999/3/1,28544
1999/4/1,23488
1999/5/1,23964
1999/6/1,23720
1999/7/1,25069
1999/8/1,24618
1999/9/1,24430
1999/10/1,25229
1999/11/1,22344
1999/12/1,22372
2000/1/1,25412
2000/2/1,25354
2000/3/1,29161
2000/4/1,24924
2000/5/1,24763
2000/6/1,25342
2000/7/1,24911
2000/8/1,25847
2000/9/1,23743
2000/10/1,25036
2000/11/1,21911
2000/12/1,20752
2001/1/1,24507
2001/2/1,25968
2001/3/1,28752
2001/4/1,25167
2001/5/1,24728
2001/6/1,23690
2001/7/1,24816
2001/8/1,26004
2001/9/1,24210
2001/10/1,25083
2001/11/1,21807
2001/12/1,21635
2002/1/1,27173
2002/2/1,29308
2002/3/1,28645
2002/4/1,25023
2002/5/1,27261
2002/6/1,24670
2002/7/1,26441
2002/8/1,27961
2002/9/1,26498
2002/10/1,27800
2002/11/1,23939
2002/12/1,22930
2003/1/1,27584
2003/2/1,27586
2003/3/1,30485
2003/4/1,26135
2003/5/1,27370
2003/6/1,25487
2003/7/1,26427
2003/8/1,27672
2003/9/1,26853
2003/10/1,27875
2003/11/1,23416
2003/12/1,22482
2004/1/1,27140
2004/2/1,28526
2004/3/1,28845
2004/4/1,25033
2004/5/1,24764
2004/6/1,24896
2004/7/1,24623
2004/8/1,26538
2004/9/1,24674
2004/10/1,25863
2004/11/1,23156
2004/12/1,22721
2005/1/1,26204
2005/2/1,26526
2005/3/1,27473
2005/4/1,24536
2005/5/1,25764
2005/6/1,25154
2005/7/1,23729
2005/8/1,25336
2005/9/1,24649
2005/10/1,25904
2005/11/1,22868
2005/12/1,21825
2006/1/1,26955
2006/2/1,27349
2006/3/1,29367
2006/4/1,24071
2006/5/1,23173
2006/6/1,21740
2006/7/1,22056
2006/8/1,23923
2006/9/1,22189
2006/10/1,22458
2006/11/1,19476
2006/12/1,21056
2007/1/1,22842
2007/2/1,22943
2007/3/1,23445
2007/4/1,19176
2007/5/1,22058
2007/6/1,19451
2007/7/1,20378
2007/8/1,21778
2007/9/1,20431
2007/10/1,22486
2007/11/1,18889
2007/12/1,18574
2008/1/1,24658
2008/2/1,24997
2008/3/1,23987
2008/4/1,21199
2008/5/1,21205
2008/6/1,21553
2008/7/1,21166
2008/8/1,20720
2008/9/1,18067
2008/10/1,21121
2008/11/1,16617
2008/12/1,15917
2009/1/1,19262
2009/2/1,20658
2009/3/1,22660
2009/4/1,20147
2009/5/1,18818
2009/6/1,19017
2009/7/1,19451
2009/8/1,18502
2009/9/1,18893
2009/10/1,19480
2009/11/1,15743
2009/12/1,16554
2010/1/1,19465
2010/2/1,22617
2010/3/1,22438
2010/4/1,18511
2010/5/1,19142
2010/6/1,19063
2010/7/1,18006
2010/8/1,20386
2010/9/1,20280
2010/10/1,18894
2010/11/1,15941
2010/12/1,16851
2011/1/1,18204
2011/2/1,15564
2011/3/1,17984
2011/4/1,13979
2011/5/1,12591
2011/6/1,12408
2011/7/1,12779
2011/8/1,14233
2011/9/1,13410
2011/10/1,12893
2011/11/1,11843
2011/12/1,11321
2012/1/1,13427
2012/2/1,14447
2012/3/1,14717
2012/4/1,11998
2012/5/1,13379
2012/6/1,12463
2012/7/1,13276
2012/8/1,14442
2012/9/1,13422
2012/10/1,13795
2012/11/1,13352
2012/12/1,12717
